"Rentelijs","t hypoth","eken","","","","",""
"Met ingang","van 22 m","aart","","","","",""
"Leef Hypo","theek: A","nnuïteit e","n Lineair","","","",""
"","NHG","t/m 60%","t/m 70%","t/m 80%","t/m 90%","t/m 95%",">95%"
"3 maanden","*","1,53%","1,65%","1,69%","1,78%","1,92%","2,06%"
"Vaste rente","","","","","","",""
"1 jaar","*","0,92%","1,02%","1,04%","1,20%","1,27%","1,38%"
"2 jaar","*","0,97%","1,08%","1,09%","1,24%","1,31%","1,39%"
"3 jaar","*","1,00%","1,09%","1,11%","1,27%","1,33%","1,40%"
"4 jaar","*","1,00%","1,10%","1,12%","1,28%","1,35%","1,42%"
"5 jaar","*","1,00%","1,10%","1,12%","1,28%","1,35%","1,42%"
"6 jaar","*","1,01%","1,14%","1,17%","1,28%","1,36%","1,43%"
"7 jaar","*","1,04%","1,16%","1,18%","1,29%","1,37%","1,44%"
"8 jaar","*","1,04%","1,16%","1,18%","1,29%","1,37%","1,44%"
"9 jaar","*","1,04%","1,16%","1,18%","1,29%","1,37%","1,44%"
"10 jaar","*","1,04%","1,16%","1,18%","1,29%","1,37%","1,44%"
"12 jaar","1,07%","1,32%","1,44%","1,45%","1,64%","1,65%","1,66%"
"15 jaar","1,15%","1,34%","1,47%","1,48%","1,74%","1,74%","1,75%"
"20 jaar","1,22%","1,37%","1,50%","1,51%","1,80%","1,80%","1,80%"
"30 jaar","1,48%","1,67%","1,76%","1,77%","*","*","*"
"Leef hypo","theek: A","flossingsv","rij en ove","rige aflos","vormen","",""
"","NHG","t/m 60%","t/m 70%","t/m 80%","t/m 90%","t/m 95%",">95%"
"3 maanden","*","1,63%","1,75%","1,79%","1,88%","2,02%","2,16%"
"Vaste rente","","","","","","",""
"1 jaar","*","1,02%","1,12%","1,14%","1,30%","1,37%","1,48%"
"2 jaar","*","1,07%","1,18%","1,19%","1,34%","1,41%","1,49%"
"3 jaar","*","1,10%","1,19%","1,21%","1,37%","1,43%","1,50%"
"4 jaar","*","1,10%","1,20%","1,22%","1,38%","1,45%","1,52%"
"5 jaar","*","1,10%","1,20%","1,22%","1,38%","1,45%","1,52%"
"6 jaar","*","1,11%","1,24%","1,27%","1,38%","1,46%","1,53%"
"7 jaar","*","1,14%","1,26%","1,28%","1,39%","1,47%","1,54%"
"8 jaar","*","1,14%","1,26%","1,28%","1,39%","1,47%","1,54%"
"9 jaar","*","1,14%","1,26%","1,28%","1,39%","1,47%","1,54%"
"10 jaar","*","1,14%","1,26%","1,28%","1,39%","1,47%","1,54%"
"12 jaar","1,22%","1,47%","1,59%","1,60%","1,79%","1,80%","1,81%"
"15 jaar","1,30%","1,49%","1,62%","1,63%","1,89%","1,89%","1,90%"
"20 jaar","1,37%","1,52%","1,65%","1,66%","1,95%","1,95%","1,95%"
"30 jaar","1,68%","1,87%","1,96%","1,97%","*","*","*"
"Overbrugging","","1,44%","","","","",""
"*U kunt op di","t moment g","een Leef Hy","potheek afslu","iten met de r","isicoklasse e","n rentevast-","periode"
"die bij deze r","ente hoort.","Dit geldt alle","en voor nieu","we klanten.","Als u op dit m","oment al ee","n"
"Leef Hypoth","eek heeft, i","s deze rente","wel beschikb","aar.","","",""
