"","","","","","Renteper","centages geldig vanaf 22-04-2021"
"HYPOTHEEKRENTE (","Annuïtair, Lineair en Spaa","r*)","","","",""
"","Tarief met NHG","","","Tarief zonder NHG","",""
"Rentevaste periode","","t/m 65% marktwaarde","t/m 85% marktw","aarde
t/m 10","8% marktwaarde**","t/m 110% marktwaarde**"
"","Nominale rente","Nominale rente","Nominale re","nte
N","ominale rente","Nominale rente"
"1","0,79%","0,99%","1,04%","","1,24%","1,49%"
"3","0,84%","1,04%","1,09%","","1,29%","1,54%"
"5","0,89%","1,09%","1,14%","","1,34%","1,59%"
"6","0,89%","1,09%","1,14%","","1,34%","1,59%"
"7","0,89%","1,09%","1,14%","","1,34%","1,59%"
"10","0,94%","1,14%","1,19%","","1,39%","1,64%"
"12","1,09%","1,29%","1,34%","","1,54%","1,79%"
"15","1,14%","1,34%","1,39%","","1,59%","1,84%"
"16","1,19%","1,39%","1,44%","","1,64%","1,89%"
"17","1,19%","1,39%","1,44%","","1,64%","1,89%"
"18","1,24%","1,44%","1,49%","","1,69%","1,94%"
"19","1,24%","1,44%","1,49%","","1,69%","1,94%"
"20","1,24%","1,44%","1,49%","","1,69%","1,94%"
"25","1,39%","1,59%","1,64%","","1,84%","2,09%"
"30","1,44%","1,64%","1,69%","","1,89%","2,14%"
"HYPOTHEEKRENTE (","Aflossingsvrij, Leven en B","eleggen*)","","","",""
"","Tarief met NHG","","","Tarief zonder NHG","",""
"Rentevaste periode","","t/m 65% marktwaarde","t/m 85% marktw","aarde
t/m 10","8% marktwaarde**","t/m 110% marktwaarde**"
"","Nominale rente","Nominale rente","Nominale re","nte
N","ominale rente","Nominale rente"
"1","0,84%","1,04%","1,09%","","1,34%","1,54%"
"3","0,89%","1,09%","1,14%","","1,39%","1,59%"
"5","0,94%","1,14%","1,19%","","1,44%","1,64%"
"6","0,94%","1,14%","1,19%","","1,44%","1,64%"
"7","0,94%","1,14%","1,19%","","1,44%","1,64%"
"10","0,99%","1,19%","1,24%","","1,49%","1,69%"
"12","1,14%","1,34%","1,39%","","1,64%","1,84%"
"15","1,19%","1,39%","1,44%","","1,69%","1,89%"
"16","1,24%","1,44%","1,49%","","1,74%","1,94%"
"17","1,24%","1,44%","1,49%","","1,74%","1,94%"
"18","1,29%","1,49%","1,54%","","1,79%","1,99%"
"19","1,29%","1,49%","1,54%","","1,79%","1,99%"
"20","1,29%","1,49%","1,54%","","1,79%","1,99%"
"25","1,44%","1,64%","1,69%","","1,94%","2,14%"
"30","1,49%","1,69%","1,74%","","1,99%","2,19%"
