"Aflosvormen: annuïtair en","lineair","","","","","","",""
"8 maart 2021","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1-2 jaar","1,03%","1,08%","1,09%","1,23%","1,23%","1,35% *","1,43% *","1,54% *"
"3-5 jaar","1,03%","1,12%","1,16%","1,23%","1,28%","1,39% *","1,47% *","1,58% *"
"6-10 jaar","1,06%","1,19%","1,21%","1,28%","1,32%","1,44% *","1,49% *","1,62% *"
"11-15 jaar","1,33%","1,39%","1,39%","1,48%","1,50%","1,73% *","1,76% *","1,88% *"
"16-20 jaar","1,34%","1,45%","1,45%","1,50%","1,60%","1,80% *","1,83% *","1,94% *"
"21-25 jaar","1,63%","1,63%","1,63%","1,78%","1,84%","2,13% *","2,13% *","2,16% *"
"26-30 jaar","1,63%","1,70%","1,70%","1,80%","1,93%","2,14% *","2,14% *","2,23% *"
"Aflosvormen: aflossingsvri","j","","","","","","",""
"8 maart 2021","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1-2 jaar","1,11%","1,23%","1,25%","1,35%","1,37%","1,48% *","1,55% *","1,66% *"
"3-5 jaar","1,14%","1,23%","1,25%","1,36%","1,40%","1,53% *","1,59% *","1,70% *"
"6-10 jaar","1,16%","1,29%","1,30%","1,40%","1,44%","1,56% *","1,61% *","1,75% *"
"11-15 jaar","1,36%","1,43%","1,43%","1,58%","1,60%","1,83% *","1,87% *","2,04% *"
"16-20 jaar","1,40%","1,51%","1,51%","1,60%","1,70%","1,90% *","1,93% *","2,11% *"
"21-25 jaar","1,66%","1,72%","1,72%","1,88%","1,94%","2,24% *","2,28% *","2,36% *"
"26-30 jaar","1,70%","1,79%","1,79%","1,90%","2,03%","2,24% *","2,28% *","2,45% *"
"*Deze tarieven zijn alleen besc","hikbaar voor bestaan","de klanten, bijvo","orbeeld bij verlen","gen of verhogen.","","","",""
