"","","","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","",""
"NIEUW","","Met NHG","","","","","","","","","","","","",""
"af te sluiten","","","","t/m 65% MW","","t/m 85% MW","","t/m 90% MW","","t/m 95% MW","","t/m 100% MW","","",""
"","Annuitair","","Aflosvrij","Annuitair","Aflosvrij","Annuitair","Aflosvrij","Annuitair","Aflosvrij","Annuitair","Aflosvrij","Annuitair","Aflosvrij","",""
"Variabel","1,40","","1,45","1,40","1,45","1,55","1,60","1,60","1,65","1,65","1,70","1,80","1,85","",""
"1 jaar","0,92","","1,02","0,99","1,09","1,16","1,26","1,25","1,35","1,35","1,45","1,44","1,54","",""
"5 jaar","0,92","","1,02","1,01","1,11","1,16","1,26","1,27","1,37","1,37","1,47","1,46","1,56","",""
"10 jaar","0,94","","1,09","1,03","1,18","1,17","1,32","1,32","1,47","1,45","1,60","1,47","1,62","",""
"15 jaar","1,09","","1,29","1,31","1,51","1,46","1,66","1,62","1,82","1,77","1,97","1,80","2,00","",""
"20 jaar","1,23","","1,43","1,37","1,57","1,52","1,72","1,64","1,84","1,81","2,01","1,82","2,02","",""
"30 jaar","2,20","","2,45","2,20","2,45","2,30","2,55","2,35","2,60","2,40","2,65","2,55","2,80","",""
"Overbrugging variabel","","2,15","","","","","","","","","","","","",""
"","","","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","","Zonder NHG"
"NIET NIEUW","","Met NHG","","","","","","","","","","","","",""
"af te sluiten","","","","t/m 65% MW","","t/m 85% MW","","t/m 90% MW","","t/m 95% MW","","t/m 100% MW","","","> 100% MW"
"","Annuiteit,Lineair,","","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,",""
"","(bank)spaar en","","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige"
"","hybride","","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen"
"Variabel","-","","-","-","-","-","-","-","-","-","-","-","-","2,05","2,10"
"1 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","1,72","1,82"
"5 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","1,74","1,84"
"6 jaar","0,92","","1,02","1,01","1,11","1,16","1,26","1,27","1,37","1,37","1,47","1,46","1,56","1,74","1,84"
"7 jaar","0,93","","1,03","1,02","1,12","1,17","1,27","1,28","1,38","1,38","1,48","1,47","1,57","1,75","1,85"
"10 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","1,78","1,93"
"15 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","2,17","2,37"
"20 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","2,25","2,45"
"30 jaar","-","","-","-","-","-","-","-","-","-","-","-","-","2,85","3,10"
