"","Aflosvormen: an","nuïtair en lineair","","","","","","","",""
"4 maart 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,42%","1,42%","1,48%","1,57%","1,59%","1,62%","1,69%","1,85%","1,85%","1,93%"
"1 - 2 jaar","0,88%","0,88%","0,98%","1,07%","1,08%","1,18%","1,22%","1,33%","1,38%","1,44%"
"3 - 5 jaar","0,90%","0,90%","1,02%","1,13%","1,14%","1,21%","1,27%","1,38%","1,44%","1,45%"
"6 - 10 jaar","0,94%","0,94%","1,07%","1,18%","1,20%","1,23%","1,29%","1,39%","1,45%","1,49%"
"11 - 15 jaar","1,13%","1,13%","1,34%","1,45%","1,45%","1,55%","1,60%","1,70%","1,75%","1,76%"
"16 - 20 jaar","1,21%","1,21%","1,40%","1,53%","1,53%","1,58%","1,66%","1,71%","1,81%","1,83%"
"21 - 25 jaar","1,50%","1,50%","1,66%","1,74%","1,78%","1,84%","1,85%","2,03%","2,08%","2,14%"
"26 - 30 jaar","1,51%","1,51%","1,67%","1,75%","1,79%","1,89%","1,95%","2,03%","2,10%","2,14%"
"Overbruggingsrente","2,70%","","","","","","","","",""
"","Aflosvormen: afl","osvrij","","","","","","","",""
"4 maart 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,47%","1,52%","1,53%","1,62%","1,64%","1,67%","1,74%","1,92%","1,95%","2,03%"
"1 - 2 jaar","0,93%","0,98%","1,03%","1,12%","1,13%","1,23%","1,27%","1,40%","1,48%","1,54%"
"3 - 5 jaar","0,95%","1,00%","1,07%","1,18%","1,19%","1,26%","1,32%","1,45%","1,54%","1,55%"
"6 - 10 jaar","0,99%","1,04%","1,12%","1,23%","1,25%","1,28%","1,34%","1,46%","1,55%","1,59%"
"11 - 15 jaar","1,23%","1,28%","1,39%","1,50%","1,50%","1,65%","1,70%","1,82%","1,90%","1,91%"
"16 - 20 jaar","1,31%","1,36%","1,45%","1,58%","1,58%","1,68%","1,76%","1,83%","1,96%","1,98%"
"21 - 25 jaar","1,65%","1,70%","1,76%","1,84%","1,88%","1,99%","2,00%","2,20%","2,28%","2,34%"
"26 - 30 jaar","1,66%","1,71%","1,77%","1,85%","1,89%","2,04%","2,10%","2,20%","2,30%","2,34%"
"Overbruggingsrente","2,70%","","","","","","","","",""
