"Annuiteiten","hypotheek","","","","","Lineaire hyp","otheek","","","","","Aflossingsv","rije hypotheek","","","",""
"","","Schuld","-marktwaar","deverhoudi","ng","","","Schuld","-marktwaar","deverhoudi","ng","","","Schuld","-marktwaar","deverhoudi","ng"
"Rentevaste","","","","","","Rentevaste","","","","","","Rentevaste","","","","",""
"","NHG","≤60%","≤80%","≤90%","≤100%","","NHG","≤60%","≤80%","≤90%","≤100%","","NHG","≤60%","≤80%","≤90%","≤100%"
"periode","","","","","","periode","","","","","","periode","","","","",""
"1 jaar","0,91%","1,13%","1,25%","1,49%","1,75%","1 jaar","0,90%","1,12%","1,24%","1,48%","1,74%","1 jaar","1,01%","1,23%","1,35%","1,59%","1,85%"
"2 jaar","0,91%","1,13%","1,25%","1,49%","1,75%","2 jaar","0,90%","1,12%","1,24%","1,48%","1,74%","2 jaar","1,01%","1,23%","1,35%","1,59%","1,85%"
"3 jaar","0,91%","1,13%","1,25%","1,49%","1,75%","3 jaar","0,90%","1,12%","1,24%","1,48%","1,74%","3 jaar","1,01%","1,23%","1,35%","1,59%","1,85%"
"4 jaar","0,91%","1,13%","1,25%","1,49%","1,75%","4 jaar","0,90%","1,12%","1,24%","1,48%","1,74%","4 jaar","1,01%","1,23%","1,35%","1,59%","1,85%"
"5 jaar","0,91%","1,13%","1,25%","1,49%","1,75%","5 jaar","0,90%","1,12%","1,24%","1,48%","1,74%","5 jaar","1,01%","1,23%","1,35%","1,59%","1,85%"
"6 jaar","0,91%","1,14%","1,26%","1,52%","1,76%","6 jaar","0,90%","1,13%","1,25%","1,51%","1,75%","6 jaar","1,01%","1,24%","1,36%","1,62%","1,86%"
"7 jaar","0,91%","1,14%","1,27%","1,55%","1,77%","7 jaar","0,90%","1,13%","1,26%","1,54%","1,76%","7 jaar","1,01%","1,24%","1,37%","1,65%","1,87%"
"8 jaar","0,92%","1,15%","1,28%","1,58%","1,78%","8 jaar","0,91%","1,14%","1,27%","1,57%","1,77%","8 jaar","1,02%","1,25%","1,38%","1,68%","1,88%"
"9 jaar","0,92%","1,15%","1,29%","1,61%","1,79%","9 jaar","0,91%","1,14%","1,28%","1,60%","1,78%","9 jaar","1,02%","1,25%","1,39%","1,71%","1,89%"
"10 jaar","0,92%","1,16%","1,30%","1,64%","1,80%","10 jaar","0,91%","1,15%","1,29%","1,63%","1,79%","10 jaar","1,02%","1,26%","1,40%","1,74%","1,90%"
