"Renteoverzicht","","","","vri","jdag 9 april, 2021"
"Rentevastperiode","NHG","t/m 60%","t/m 80%","t/m 90%","> 90%"
"1 jaar","1,04%","1,26% *","1,28%","1,34%","1,50%"
"5 jaar","1,05%","1,27% *","1,29%","1,35%","1,52%"
"10 jaar","1,07%","1,32% *","1,35%","1,40%","1,55%"
"15 jaar","1,12%","1,38% *","1,45%","1,56%","1,76%"
"20 jaar","1,25%","1,45% *","1,54%","1,60%","1,80%"
"25 jaar","1,47%","1,71% *","1,80%","1,85%","2,08%"
"30 jaar","1,48%","1,74% *","1,84%","1,94%","2,09%"
"Overbruggingskrediet","","","2,76%","",""
