"","","","A","NNUÏTEIT /","LINEAIR","","","","","ALLE O","VERIGE HYPO","THEEKVORME","N",""
"","NHG","MW≤55%","MW≤70%","MW≤80%","MW≤90%","MW≤101","%
MW>101","%
NHG","MW≤55%","MW≤70%","MW≤80%","MW≤90%","MW≤101%","MW>101%"
"Flexibel*","1,32","1,47","1,57","1,62","1,67","1,87","2,17","1,42","1,57","1,67","1,72","1,77","1,97","2,27"
"1 jaar","1,26","1,41","1,51","1,56","1,61","1,81","2,11","1,36","1,51","1,61","1,66","1,71","1,91","2,21"
"2 jaar","1,26","1,41","1,51","1,56","1,61","1,81","2,11","1,36","1,51","1,61","1,66","1,71","1,91","2,21"
"3 jaar","1,29","1,44","1,54","1,59","1,64","1,84","2,14","1,39","1,54","1,64","1,69","1,74","1,94","2,24"
"4 jaar","1,30","1,45","1,55","1,60","1,65","1,85","2,15","1,40","1,55","1,65","1,70","1,75","1,95","2,25"
"5 jaar","1,32","1,47","1,57","1,62","1,67","1,87","2,17","1,42","1,57","1,67","1,72","1,77","1,97","2,27"
"6 jaar","1,33","1,48","1,58","1,63","1,68","1,88","2,18","1,43","1,58","1,68","1,73","1,78","1,98","2,28"
"7 jaar","1,33","1,48","1,58","1,63","1,68","1,88","2,18","1,43","1,58","1,68","1,73","1,78","1,98","2,28"
"8 jaar","1,33","1,48","1,58","1,63","1,68","1,88","2,18","1,43","1,58","1,68","1,73","1,78","1,98","2,28"
"9 jaar","1,33","1,48","1,58","1,63","1,68","1,88","2,18","1,43","1,58","1,68","1,73","1,78","1,98","2,28"
"10 jaar","1,33","1,48","1,58","1,63","1,68","1,88","2,18","1,43","1,58","1,68","1,73","1,78","1,98","2,28"
"11 jaar","1,39","1,54","1,64","1,69","1,74","1,94","2,24","1,49","1,64","1,74","1,79","1,84","2,04","2,34"
"12 jaar","1,49","1,64","1,74","1,79","1,84","2,04","2,34","1,59","1,74","1,84","1,89","1,94","2,14","2,44"
"13 jaar","1,55","1,74","1,84","1,89","1,94","2,14","2,44","1,65","1,84","1,94","1,99","2,04","2,24","2,54"
"14 jaar","1,57","1,76","1,86","1,91","1,96","2,16","2,46","1,67","1,86","1,96","2,01","2,06","2,26","2,56"
"15 jaar","1,59","1,78","1,88","1,93","1,98","2,18","2,48","1,69","1,88","1,98","2,03","2,08","2,28","2,58"
"16 jaar","1,61","1,80","1,90","1,95","2,00","2,20","2,50","1,71","1,90","2,00","2,05","2,10","2,30","2,60"
"17 jaar","1,62","1,81","1,91","1,96","2,01","2,21","2,51","1,72","1,91","2,01","2,06","2,11","2,31","2,61"
"18 jaar","1,63","1,82","1,92","1,97","2,02","2,22","2,52","1,73","1,92","2,02","2,07","2,12","2,32","2,62"
"19 jaar","1,64","1,83","1,93","1,98","2,03","2,23","2,53","1,74","1,93","2,03","2,08","2,13","2,33","2,63"
"20 jaar","1,66","1,85","1,95","2,00","2,05","2,25","2,55","1,76","1,95","2,05","2,10","2,15","2,35","2,65"
"25 jaar","1,98","2,17","2,27","2,32","2,37","2,57","2,87","2,08","2,27","2,37","2,42","2,47","2,67","2,97"
"30 jaar","2,02","2,21","2,31","2,36","2,41","2,61","2,91","2,12","2,31","2,41","2,46","2,51","2,71","3,01"
