"","NHG","0 t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW"
"1 jaar","0.89%","0.94%","1.04%","1.06%","1.21%","1.26%","1.38%"
"2 jaar","0.89%","1.00%","1.08%","1.10%","1.25%","1.30%","1.41%"
"3 jaar","0.94%","1.00%","1.09%","1.11%","1.26%","1.31%","1.42%"
"5 jaar","1.00%","1.00%","1.09%","1.11%","1.26%","1.31%","1.43%"
"6 jaar","1.02%","1.02%","1.13%","1.15%","1.27%","1.34%","1.44%"
"7 jaar","1.03%","1.04%","1.15%","1.17%","1.27%","1.34%","1.45%"
"10 jaar","1.04%","1.04%","1.15%","1.17%","1.27%","1.34%","1.45%"
"12 jaar","1.83%","1.40%","1.50%","1.52%","1.56%","1.58%","1.64%"
"15 jaar","1.90%","1.48%","1.53%","1.55%","1.60%","1.67%","1.75%"
"20 jaar","2.00%","1.58%","1.64%","1.66%","1.68%","1.77%","1.82%"
"30 jaar","2.30%","1.83%","1.85%","1.87%","1.96%","2.03%","2.12%"
"Overbruggingskrediet","","","","2.64%","","",""
"Aan dit overzicht kunnen g","een rechten worden ontl","eend.","","","","","2021/09"
