"Rentetarieven Vista Hy","potheken","","","","",""
"Ingangsdatum:","08/04/202","1","","","",""
"Aflostype:  Annuïtair","/ Lineair","","","","",""
"Rentevaste periode","NHG","<= 60% MW","<= 80% MW","<= 90% MW","<= 95% MW","> 95% MW"
"1 jaar","0,79%","0,90%","1,03%","1,17%","1,24%","1,31%"
"5 jaar","0,86%","1,00%","1,11%","1,22%","1,27%","1,36%"
"10 jaar","0,89%","1,03%","1,16%","1,28%","1,37%","1,43%"
"15 jaar","1,10%","1,29%","1,39%","1,55%","1,62%","1,69%"
"20 jaar","1,29%","1,50%","1,56%","1,67%","1,77%","1,81%"
"30 jaar","1,54%","1,67%","1,77%","1,95%","1,97%","2,02%"
"Aflostype:  Aflossing","svrij","","","","",""
"Rentevaste periode","NHG","<= 60% MW","<= 80% MW","<= 90% MW","<= 95% MW","> 95% MW"
"1 jaar","0,88%","0,96%","1,10%","1,24%","1,31%","1,38%"
"5 jaar","0,94%","1,06%","1,19%","1,32%","1,37%","1,46%"
"10 jaar","0,99%","1,10%","1,26%","1,36%","1,47%","1,50%"
"15 jaar","1,20%","1,43%","1,50%","1,64%","1,72%","1,78%"
"20 jaar","1,39%","1,59%","1,64%","1,76%","1,87%","1,92%"
"30 jaar","1,67%","1,77%","1,84%","2,04%","2,07%","2,09%"
"Overbruggingshypotheek","2,40%","","","","",""
"Energielabel-A rentekorting","-0,02%","","","","",""
"Bovenstaande rentetarieven","zijn exclusief Energielab","el-A rentekorting","","","",""
"Energielabel-A rentekorting g","eldt niet op de overbru","ggingshypotheek","","","",""
"Deze rentetarieven zijn onder","voorbehoud van typef","outen","","","",""
