"Geldig vanaf 24-03-20","21","","","","","","","","","",""
"Nummer:","21.10","","","","","","","","","",""
"Woonnu Hypothee","krentetarief voor de A","nnuïteiten","Hypoth","eek en","de Linea","ire Hy","potheek","met E","nergiela","bel C",""
"Rentevaste","","","Verhou","ding hyp","otheek/","woningw","aarde","","","",""
"periode","NHG","≤60%","","≤80%","","≤90%","","≤100%","",">100%*",""
"1 jaar","1,02%","1,19%","","1,29%","","1,45%","","1,59%","","1,89%",""
"2 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"3 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"4 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"5 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"6 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"7 jaar","1,07%","1,20%","","1,35%","","1,47%","","1,59%","","1,89%",""
"8 jaar","1,08%","1,23%","","1,41%","","1,53%","","1,63%","","1,92%",""
"9 jaar","1,08%","1,24%","","1,42%","","1,55%","","1,63%","","1,96%",""
"10 jaar","1,08%","1,25%","","1,43%","","1,56%","","1,64%","","1,99%",""
"11 jaar","1,22%","1,43%","(-0,02)","1,47%","(-0,01)","1,60%","(-0,01)","1,71%","(-0,01)","2,01%","(-0,01)"
"12 jaar","1,22%","1,43%","(-0,02)","1,51%","(-0,02)","1,63%","(-0,02)","1,77%","(-0,02)","2,03%","(-0,02)"
"13 jaar","1,30%","1,43%","(-0,02)","1,51%","(-0,02)","1,65%","(-0,02)","1,78%","(-0,02)","2,03%","(-0,02)"
"14 jaar","1,30%","1,43%","(-0,02)","1,51%","(-0,02)","1,66%","(-0,02)","1,79%","(-0,02)","2,03%","(-0,02)"
"15 jaar","1,30%","1,43%","(-0,02)","1,51%","(-0,02)","1,68%","(-0,02)","1,80%","(-0,02)","2,03%","(-0,02)"
"16 jaar","1,45%","1,57%","(-0,01)","1,57%","(-0,02)","1,68%","(-0,02)","1,81%","(-0,02)","2,05%","(-0,02)"
"17 jaar","1,45%","1,57%","(-0,01)","1,59%","(-0,02)","1,69%","(-0,02)","1,82%","(-0,02)","2,08%","(-0,02)"
"18 jaar","1,45%","1,57%","(-0,01)","1,60%","(-0,02)","1,69%","(-0,02)","1,83%","(-0,02)","2,10%","(-0,02)"
"19 jaar","1,45%","1,57%","(-0,01)","1,62%","(-0,02)","1,70%","(-0,02)","1,84%","(-0,02)","2,13%","(-0,02)"
"20 jaar","1,45%","1,57%","(-0,01)","1,62%","(-0,02)","1,70%","(-0,02)","1,85%","(-0,02)","2,15%","(-0,02)"
"21 jaar","1,63%","1,63%","(-0,01)","1,68%","(-0,02)","1,76%","(-0,02)","1,91%","(-0,02)","2,21%","(-0,02)"
"22 jaar","1,63%","1,64%","(-0,01)","1,70%","(-0,02)","1,81%","(-0,02)","1,97%","(-0,02)","2,27%","(-0,02)"
"23 jaar","1,63%","1,66%","(-0,01)","1,74%","(-0,02)","1,87%","(-0,02)","2,04%","(-0,02)","2,32%","(-0,02)"
"24 jaar","1,63%","1,67%","(-0,02)","1,78%","(-0,02)","1,92%","(-0,02)","2,10%","(-0,02)","2,38%","(-0,02)"
"25 jaar","1,63%","1,68%","(-0,02)","1,82%","(-0,02)","1,98%","(-0,02)","2,16%","(-0,02)","2,44%","(-0,02)"
"26 jaar","1,67%","1,72%","(-0,02)","1,83%","(-0,02)","1,99%","(-0,02)","2,16%","(-0,02)","2,45%","(-0,02)"
"27 jaar","1,67%","1,73%","(-0,02)","1,84%","(-0,02)","2,00%","(-0,02)","2,16%","(-0,02)","2,45%","(-0,02)"
"28 jaar","1,67%","1,73%","(-0,02)","1,85%","(-0,02)","2,01%","(-0,02)","2,16%","(-0,02)","2,46%","(-0,02)"
"29 jaar","1,67%","1,75%","(-0,02)","1,86%","(-0,02)","2,02%","(-0,02)","2,16%","(-0,02)","2,46%","(-0,02)"
"30 jaar","1,67%","1,77%","(-0,02)","1,87%","(-0,02)","2,03%","(-0,02)","2,16%","(-0,02)","2,47%","(-0,02)"
"Energielabel korti","ng","","","","","","","","","",""
"Nul-op-de-Meter","-0,25%","","","","","","","","","",""
"Energielabel A","-0,20%","","","","","","","","","",""
"Energielabel B","-0,10%","","","","","","","","","",""
"Energielabel C","0,00%","","","","","","","","","",""
"Energielabel D t/m G (op","slag)
+0,30%","","","","","","","","","",""
"Overig","","","","","","","","","","",""
"Aflosvrije hypotheek 1","t/m 10 jaar
+0,05%","","","","","","","","","",""
"Aflosvrije hypotheek 11","t/m 20 jaar
+0,10%","","","","","","","","","",""
"Aflosvrije hypotheek 2","1 t/m 30 jaar
+0,20%","","","","","","","","","",""
"Overbruggingskrediet","2,40%","","","","","","","","","",""
"De geoffreerde rente is d","e passeerrente, ook als de rent","e voor de pass","eerdatum","wijzigt.","","","","","","",""
"* Bij het financieren van","energiebesparende voorziening","en boven 100","% van de m","arktwaar","de, geldt h","et tarief","tot 100% v","an de ma","rktwaarde","",""
"Aan dit overzicht kunnen","geen rechten worden ontleen","d.","","","","","","","","",""
