"Aflosvormen: annuïta","ir & lineair","","","",""
"","NHG","t/m 60% MW","t/m 80% MW","t/m 90% MW","> 90% MW"
"1 jaar","0,75%","0,85%","0,96%","1,30%","1,40%"
"2 jaar","0,79%","0,89%","0,98%","1,35%","1,46%"
"3 - 5 jaar","0,83%","0,95%","1,06%","1,37%","1,49%"
"6 - 10 jaar","0,89%","1,01%","1,15%","1,45%","1,57%"
"11 - 15 jaar","1,09%","1,25%","1,40%","1,75%","1,90%"
"16 - 20 jaar","1,15%","1,33%","1,46%","1,83%","1,96%"
"21 - 25 jaar","1,39%","1,56%","1,65%","2,02%","2,22%"
"26 - 30 jaar","1,43%","1,60%","1,71%","2,10%","2,25%"
