"Renteoverzicht","","","","vrijd","ag 23 april, 2021"
"Rentevast periode","NHG","t/m 60% *","t/m 80%","t/m 90%","> 90%"
"1 jaar","1,01%","1,26% *","1,28%","1,29%","1,50%"
"5 jaar","1,02%","1,27% *","1,29%","1,30%","1,52%"
"10 jaar","1,04%","1,32% *","1,35%","1,36%","1,55%"
"15 jaar","1,14%","1,38% *","1,45%","1,53%","1,76%"
"20 jaar","1,26%","1,45% *","1,56%","1,60%","1,80%"
"25 jaar","1,45%","1,71% *","1,80%","1,82%","2,08%"
"30 jaar","1,46%","1,74% *","1,84%","1,91%","2,09%"
"Overbruggingskrediet","","","2,76%","",""
