"","Aflosvormen: an","nuïtair en lineair","","","","","","","",""
"22 april 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,42%","1,42%","1,48%","1,57%","1,59%","1,62%","1,69%","1,85%","1,85%","1,93%"
"1 - 2 jaar","0,88%","0,88%","0,98%","1,07%","1,08%","1,18%","1,22%","1,33%","1,38%","1,44%"
"3 - 5 jaar","0,90%","0,90%","1,02%","1,13%","1,14%","1,21%","1,27%","1,38%","1,42%","1,44%"
"6 - 10 jaar","0,94%","0,94%","1,07%","1,18%","1,20%","1,23%","1,29%","1,39%","1,43%","1,46%"
"11 - 15 jaar","1,14%","1,14%","1,35%","1,46%","1,46%","1,55%","1,60%","1,69%","1,71%","1,75%"
"16 - 20 jaar","1,27%","1,27%","1,42%","1,55%","1,55%","1,59%","1,67%","1,69%","1,78%","1,81%"
"21 - 25 jaar","1,50%","1,50%","1,66%","1,73%","1,73%","1,84%","1,84%","2,00%","2,01%","2,08%"
"26 - 30 jaar","1,51%","1,51%","1,67%","1,73%","1,74%","1,89%","1,90%","2,00%","2,01%","2,08%"
"Overbruggingsrente","2,70%","","","","","","","","",""
"","Aflosvormen: afl","osvrij","","","","","","","",""
"22 april 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,47%","1,52%","1,53%","1,62%","1,64%","1,67%","1,74%","1,92%","1,95%","2,03%"
"1 - 2 jaar","0,93%","0,98%","1,03%","1,12%","1,15%","1,25%","1,29%","1,40%","1,48%","1,54%"
"3 - 5 jaar","0,95%","1,00%","1,07%","1,18%","1,21%","1,28%","1,34%","1,45%","1,52%","1,54%"
"6 - 10 jaar","0,99%","1,04%","1,12%","1,23%","1,27%","1,30%","1,36%","1,46%","1,53%","1,56%"
"11 - 15 jaar","1,24%","1,29%","1,42%","1,54%","1,55%","1,65%","1,70%","1,79%","1,83%","1,90%"
"16 - 20 jaar","1,37%","1,42%","1,49%","1,63%","1,64%","1,69%","1,77%","1,79%","1,90%","1,96%"
"21 - 25 jaar","1,65%","1,70%","1,76%","1,83%","1,83%","1,96%","1,96%","2,15%","2,21%","2,28%"
"26 - 30 jaar","1,66%","1,71%","1,77%","1,83%","1,84%","2,01%","2,02%","2,15%","2,21%","2,28%"
"Overbruggingsrente","2,70%","","","","","","","","",""
