"Woonfonds Woongenot Hypotheek (annuïtair, lineair)",Unnamed: 0,Unnamed: 1
,,Van de marktwaarde
NHG t/m 60% t/m 70% t/m 80% t/m 90%,t/m 95%,t/m 100% > 100%
Kwartaal Variabele Rente,,
"3 maanden 1,48% 1,54% 1,66% 1,70% 1,79%","1,93%","2,07% 2,33%"
Vaste rente,,
"1 jaar 0,86% 0,94% 1,04% 1,06% 1,23%","1,28%","1,43% 1,84%"
"2 jaar 0,88% 0,99% 1,10% 1,11% 1,27%","1,32%","1,44% 1,84%"
"3 jaar 0,89% 1,02% 1,11% 1,13% 1,30%","1,36%","1,44% 1,85%"
"4 jaar 0,90% 1,02% 1,12% 1,14% 1,32%","1,37%","1,45% 1,85%"
"5 jaar 0,90% 1,02% 1,12% 1,14% 1,32%","1,37%","1,45% 1,86%"
"6 jaar 0,91% 1,04% 1,16% 1,19% 1,32%","1,40%","1,47% 1,87%"
"7 jaar 0,92% 1,09% 1,18% 1,20% 1,33%","1,41%","1,48% 1,87%"
"8 jaar 0,96% 1,10% 1,20% 1,21% 1,33%","1,41%","1,48% 1,90%"
"9 jaar 1,02% 1,12% 1,20% 1,21% 1,36%","1,41%","1,49% 1,91%"
"10 jaar 1,10% 1,28% 1,27% 1,29% 1,39%","1,44%","1,52% 1,92%"
"12 jaar 1,67% 2,13% 2,27% 2,38% 2,51%","2,53%","2,61% 2,91%"
"15 jaar 1,68% 2,67% 2,82% 2,86% 3,07%","3,07%","3,07% 3,37%"
"20 jaar 1,68%",,
"30 jaar 1,98%",,
Woonfonds Woongenot Hypotheek (Krediethypotheek),,
Van de marktwaarde,,
t/m 60%,,
Maand Variabele Rente,,
"Maand 2,15%",,
Woonfonds Woongenot Hypotheek (overige aflosvormen),,
,,Van de marktwaarde
NHG t/m 60% t/m 70% t/m 80% t/m 90%,t/m 95%,t/m 100% > 100%
Kwartaal Variabele Rente,,
"3 maanden 1,58% 1,64% 1,76% 1,80% 1,89%","2,03%","2,17% 2,38%"
Vaste rente,,
"1 jaar 0,96% 1,04% 1,14% 1,16% 1,33%","1,38%","1,53% 1,94%"
"2 jaar 0,98% 1,09% 1,20% 1,21% 1,37%","1,42%","1,54% 1,94%"
"3 jaar 0,99% 1,12% 1,21% 1,23% 1,40%","1,46%","1,54% 1,95%"
"4 jaar 1,00% 1,12% 1,22% 1,24% 1,42%","1,47%","1,55% 1,95%"
"5 jaar 1,00% 1,12% 1,22% 1,24% 1,42%","1,47%","1,55% 1,96%"
"6 jaar 1,01% 1,14% 1,26% 1,29% 1,42%","1,50%","1,57% 1,97%"
"7 jaar 1,02% 1,19% 1,28% 1,30% 1,43%","1,51%","1,58% 1,97%"
"8 jaar 1,06% 1,20% 1,30% 1,31% 1,43%","1,51%","1,58% 2,00%"
"9 jaar 1,12% 1,22% 1,30% 1,31% 1,46%","1,51%","1,59% 2,01%"
"10 jaar 1,20% 1,38% 1,37% 1,39% 1,49%","1,54%","1,62% 2,12%"
"12 jaar 1,87% 2,33% 2,47% 2,58% 2,71%","2,73%","2,81% 3,11%"
"15 jaar 1,88% 2,87% 3,02% 3,06% 3,27%","3,27%","3,27% 3,57%"
"3 maanden 1,61%","1,67%","1,73%","2,03%","2,33%"
Vaste rente,,,,
"1 jaar 1,06%","1,14%","1,26%","1,49%","1,84%"
"2 jaar 1,08%","1,19%","1,31%","1,49%","1,84%"
"3 jaar 1,09%","1,22%","1,33%","1,50%","1,85%"
"4 jaar 1,10%","1,22%","1,34%","1,50%","1,85%"
"5 jaar 1,10%","1,22%","1,34%","1,51%","1,86%"
"6 jaar 1,11%","1,24%","1,38%","1,51%","1,87%"
"7 jaar 1,12%","1,29%","1,38%","1,51%","1,87%"
"8 jaar 1,16%","1,30%","1,39%","1,52%","1,90%"
"9 jaar 1,22%","1,32%","1,39%","1,54%","1,91%"
"10 jaar 1,30%","1,48%","1,44%","1,57%","1,92%"
"12 jaar 1,67%","2,13%","2,38%","2,61%","2,91%"
"15 jaar 1,68%","2,67%","2,86%","3,07%","3,37%"
"20 jaar 1,68%","2,67%","2,86%","3,07%","3,37%"
"30 jaar 1,98%","2,81%","2,91%","3,16%","3,46%"
Woonfonds Voordeel Lijn (Krediethypotheek),,,,
Van de marktwaarde,,,,
t/m 60%,,,,
Maand Variabele Rente,,,,
"Maand 2,15%",,,,
Woonfonds Voordeel Lijn (overige aflosvormen),,,,
,,,Van de markt,
NHG,t/m 60%,t/m 80%,t/m 100%,> 100%
Kwartaal Variabele Rente,,,,
"3 maanden 1,66%","1,72%","1,78%","2,08%","2,38%"
Vaste rente,,,,
"1 jaar 1,16%","1,24%","1,36%","1,59%","1,94%"
"2 jaar 1,18%","1,29%","1,41%","1,59%","1,94%"
"3 jaar 1,19%","1,32%","1,43%","1,60%","1,95%"
"4 jaar 1,20%","1,32%","1,44%","1,60%","1,95%"
"5 jaar 1,20%","1,32%","1,44%","1,61%","1,96%"
"6 jaar 1,21%","1,34%","1,48%","1,61%","1,97%"
"7 jaar 1,22%","1,39%","1,48%","1,61%","1,97%"
"8 jaar 1,26%","1,40%","1,49%","1,62%","2,00%"
"9 jaar 1,32%","1,42%","1,49%","1,64%","2,01%"
"10 jaar 1,40%","1,58%","1,59%","1,77%","2,12%"
"12 jaar 1,87%","2,33%","2,58%","2,81%","3,11%"
"15 jaar 1,88%","2,87%","3,06%","3,27%","3,57%"
"20 jaar 1,88%","2,87%","3,06%","3,27%","3,57%"
"30 jaar 2,28%","3,11%","3,21%","3,46%","3,76%"
3 maanden,"1,81%","1,87%","1,93%","2,23%","2,53%"
Vaste rente,,,,,
1 jaar,"1,26%","1,34%","1,46%","1,69%","2,04%"
2 jaar,"1,28%","1,39%","1,51%","1,69%","2,04%"
3 jaar,"1,29%","1,42%","1,53%","1,70%","2,05%"
4 jaar,"1,30%","1,42%","1,54%","1,70%","2,05%"
5 jaar,"1,30%","1,42%","1,54%","1,71%","2,06%"
6 jaar,"1,31%","1,44%","1,58%","1,71%","2,07%"
7 jaar,"1,32%","1,49%","1,58%","1,71%","2,07%"
8 jaar,"1,36%","1,50%","1,59%","1,72%","2,10%"
9 jaar,"1,42%","1,52%","1,59%","1,74%","2,11%"
10 jaar,"1,50%","1,68%","1,64%","1,77%","2,12%"
12 jaar,"1,87%","2,33%","2,58%","2,81%","3,11%"
