"","Rentelijst hypotheken","","","","","",""
"","Met ingang van 1 maart","","","","","",""
"","Leef Hypotheek: Annuïteit en Lineair","","","","","",""
"","NHG","t/m 60%","t/m 70%","t/m 80%","t/m 90%","t/m 95%",">95%"
"3 maanden","*","1,53%","1,65%","1,69%","1,78%","1,92%","2,06%"
"Vaste rente","","","","","","",""
"1 jaar","*","0,93%","1,03%","1,05%","1,22%","1,27%","1,41%"
"2 jaar","*","0,98%","1,09%","1,10%","1,26%","1,31%","1,42%"
"3 jaar","*","1,01%","1,10%","1,12%","1,29%","1,35%","1,42%"
"4 jaar","*","1,01%","1,11%","1,13%","1,31%","1,36%","1,43%"
"5 jaar","*","1,01%","1,11%","1,13%","1,31%","1,36%","1,43%"
"6 jaar","*","1,03%","1,15%","1,18%","1,31%","1,37%","1,44%"
"7 jaar","*","1,06%","1,17%","1,19%","1,32%","1,38%","1,45%"
"8 jaar","*","1,07%","1,17%","1,19%","1,32%","1,38%","1,45%"
"9 jaar","*","1,09%","1,17%","1,19%","1,32%","1,38%","1,45%"
"10 jaar","*","1,13%","1,17%","1,19%","1,32%","1,38%","1,45%"
"12 jaar","1,24%","1,34%","1,45%","1,46%","1,68%","1,70%","1,70%"
"15 jaar","1,32%","1,36%","1,48%","1,49%","1,77%","1,79%","1,80%"
"20 jaar","1,39%","1,39%","1,50%","1,51%","1,84%","1,84%","1,84%"
"30 jaar","1,49%","1,69%","1,79%","1,80%","*","*","*"
"","Leef hypotheek: Aflossingsvrij en overige aflosvormen","","","","","",""
"","NHG","t/m 60%","t/m 70%","t/m 80%","t/m 90%","t/m 95%",">95%"
"3 maanden","*","1,63%","1,75%","1,79%","1,88%","2,02%","2,16%"
"Vaste rente","","","","","","",""
"1 jaar","*","1,03%","1,13%","1,15%","1,32%","1,37%","1,51%"
"2 jaar","*","1,08%","1,19%","1,20%","1,36%","1,41%","1,52%"
"3 jaar","*","1,11%","1,20%","1,22%","1,39%","1,45%","1,52%"
"4 jaar","*","1,11%","1,21%","1,23%","1,41%","1,46%","1,53%"
"5 jaar","*","1,11%","1,21%","1,23%","1,41%","1,46%","1,53%"
"6 jaar","*","1,13%","1,25%","1,28%","1,41%","1,47%","1,54%"
"7 jaar","*","1,16%","1,27%","1,29%","1,42%","1,48%","1,55%"
"8 jaar","*","1,17%","1,27%","1,29%","1,42%","1,48%","1,55%"
"9 jaar","*","1,19%","1,27%","1,29%","1,42%","1,48%","1,55%"
"10 jaar","*","1,23%","1,27%","1,29%","1,42%","1,48%","1,55%"
"12 jaar","1,39%","1,49%","1,60%","1,61%","1,83%","1,85%","1,85%"
"15 jaar","1,47%","1,51%","1,63%","1,64%","1,92%","1,94%","1,95%"
"20 jaar","1,54%","1,54%","1,65%","1,66%","1,99%","1,99%","1,99%"
"30 jaar","1,69%","1,89%","1,99%","2,00%","*","*","*"
"Overbrugging","","1,47%","","","","",""
"*U kunt op dit moment geen Leef Hypotheek afsluiten met de risicoklasse en rentevast-periode","","","","","","",""
"die bij deze rente hoort. Dit geldt alleen voor nieuwe klanten. Als u op dit moment al een","","","","","","",""
"Leef Hypotheek heeft, is deze rente wel beschikbaar.","","","","","","",""
