Elan Plus Hypotheek,Unnamed: 0,Unnamed: 1,Unnamed: 2,26 februari 2021
"Aflosvormen: annuïtair, lineair en aflossingsvrij",,,,
t/m 45% MW,t/m 60% MW,t/m 70% MW,t/m 80% MW,t/m 90% MW >90% MW
3 maands variabel,,,,
"(week 8) 2,25%","2,40%","2,40%","2,49%","2,53% 2,53%"
"1 jaar 1,14%","1,15%","1,24%","1,25%","1,35% 1,55%"
"3 jaar 1,15%","1,16%","1,27%","1,28%","1,36% 1,56%"
"5 jaar 1,16%","1,17%","1,28%","1,29%","1,37% 1,57%"
"7 jaar 1,17%","1,18%","1,29%","1,30%","1,38% 1,58%"
"10 jaar 1,18%","1,19%","1,29%","1,30%","1,39% 1,59%"
"15 jaar 1,39%","1,40%","1,51%","1,52%","1,63% 1,79%"
"20 jaar 1,50%","1,51%","1,62%","1,63%","1,74% 1,90%"
"30 jaar 1,76%","1,77%","1,88%","1,89%","2,00% 2,16%"
Elan Hypotheek,Unnamed: 0,Unnamed: 1,26 februari 2021
"Aflosvormen: annuïtair, lineair en aflossingsvrij",,,
t/m 60% MW   t/m 85% MW,t/m 90% MW,t/m 95% MW,t/m 100% MW >100% MW
3 maands variabel,,,
"(week 8) 2,25% 2,40%","2,40%","2,49%","2,53% 2,53%"
"1 jaar 1,13% 1,33%","1,33%","1,53%","1,53% 1,53%"
"3 jaar 1,14% 1,34%","1,34%","1,54%","1,54% 1,54%"
"5 jaar 1,15% 1,35%","1,35%","1,55%","1,55% 1,55%"
"7 jaar 1,16% 1,36%","1,36%","1,56%","1,56% 1,56%"
"10 jaar 1,17% 1,37%","1,37%","1,57%","1,57% 1,57%"
"15 jaar 1,38% 1,61%","1,61%","1,77%","1,77% 1,77%"
"20 jaar 1,49% 1,72%","1,72%","1,88%","1,88% 1,88%"
"30 jaar 1,75% 1,98%","1,98%","2,14%","2,14% 2,14%"
